Año,Mes,Distrito,Dependencia,Tipo,Cantidad
2024,Febrero,Orán,Policiales,Penal,863
2024,Febrero,Metán,Judiciales,Penal por violencia de género,19
2024,Febrero,Metán,Judiciales,Penal por violencia familiar,1
2024,Febrero,Metán,Judiciales,Violencia no penal,8
2024,Febrero,Metán,Judiciales,Penal,10
2024,Febrero,Metán,Policiales,Penal por violencia de género,152
2024,Febrero,Metán,Policiales,Penal por violencia familiar,3
2024,Febrero,Metán,Policiales,Violencia no penal,54
2024,Febrero,Metán,Policiales,Penal,651
2024,Febrero,Anta,Judiciales,Penal por violencia de género,4
2024,Febrero,Anta,Judiciales,Penal por violencia familiar,0
2024,Febrero,Anta,Judiciales,Violencia no penal,10
2024,Febrero,Anta,Judiciales,Penal,10
2024,Febrero,Anta,Policiales,Penal por violencia de género,33
2024,Febrero,Anta,Policiales,Penal por violencia familiar,0
2024,Febrero,Anta,Policiales,Violencia no penal,14
2024,Febrero,Anta,Policiales,Penal,107
2024,Febrero,Tartagal,Judiciales,Penal por violencia de género,6
2024,Febrero,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Febrero,Tartagal,Judiciales,Violencia no penal,14
2024,Febrero,Tartagal,Judiciales,Penal,6
2024,Febrero,Tartagal,Policiales,Penal por violencia de género,246
2024,Febrero,Tartagal,Policiales,Penal por violencia familiar,4
2024,Febrero,Tartagal,Policiales,Violencia no penal,157
2024,Febrero,Tartagal,Policiales,Penal,1018
2024,Marzo,Centro,Judiciales,Penal por violencia de género,163
2024,Marzo,Centro,Judiciales,Penal por violencia familiar,62
2024,Marzo,Centro,Judiciales,Violencia no penal,19
2024,Marzo,Centro,Judiciales,Penal,496
2024,Marzo,Centro,Policiales,Penal por violencia de género,1208
2024,Marzo,Centro,Policiales,Penal por violencia familiar,465
2024,Marzo,Centro,Policiales,Violencia no penal,711
2024,Marzo,Centro,Policiales,Penal,5989
2024,Marzo,Cafayate,Judiciales,Penal por violencia de género,2
2024,Marzo,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Marzo,Cafayate,Judiciales,Violencia no penal,0
2024,Marzo,Cafayate,Judiciales,Penal,5
2024,Marzo,Cafayate,Policiales,Penal por violencia de género,25
2024,Marzo,Cafayate,Policiales,Penal por violencia familiar,13
2024,Marzo,Cafayate,Policiales,Violencia no penal,11
2024,Marzo,Cafayate,Policiales,Penal,152
2024,Marzo,Orán,Judiciales,Penal por violencia de género,22
2024,Marzo,Orán,Judiciales,Penal por violencia familiar,1
2024,Marzo,Orán,Judiciales,Violencia no penal,4
2024,Marzo,Orán,Judiciales,Penal,11
2024,Marzo,Orán,Policiales,Penal por violencia de género,179
2024,Marzo,Orán,Policiales,Penal por violencia familiar,35
2024,Marzo,Orán,Policiales,Violencia no penal,83
2024,Marzo,Orán,Policiales,Penal,817
2024,Marzo,Metán,Judiciales,Penal por violencia de género,11
2024,Marzo,Metán,Judiciales,Penal por violencia familiar,0
2024,Marzo,Metán,Judiciales,Violencia no penal,6
2024,Marzo,Metán,Judiciales,Penal,17
2024,Marzo,Metán,Policiales,Penal por violencia de género,134
2024,Marzo,Metán,Policiales,Penal por violencia familiar,3
2024,Marzo,Metán,Policiales,Violencia no penal,49
2024,Marzo,Metán,Policiales,Penal,705
2024,Marzo,Anta,Judiciales,Penal por violencia de género,4
2024,Marzo,Anta,Judiciales,Penal por violencia familiar,0
2024,Marzo,Anta,Judiciales,Violencia no penal,6
2024,Marzo,Anta,Judiciales,Penal,8
2024,Marzo,Anta,Policiales,Penal por violencia de género,33
2024,Marzo,Anta,Policiales,Penal por violencia familiar,0
2024,Marzo,Anta,Policiales,Violencia no penal,11
2024,Marzo,Anta,Policiales,Penal,108
2024,Marzo,Tartagal,Judiciales,Penal por violencia de género,8
2024,Marzo,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Marzo,Tartagal,Judiciales,Violencia no penal,27
2024,Marzo,Tartagal,Judiciales,Penal,10
2024,Marzo,Tartagal,Policiales,Penal por violencia de género,283
2024,Marzo,Tartagal,Policiales,Penal por violencia familiar,8
2024,Marzo,Tartagal,Policiales,Violencia no penal,181
2024,Marzo,Tartagal,Policiales,Penal,1029
2024,Abril,Centro,Judiciales,Penal por violencia de género,146
2024,Abril,Centro,Judiciales,Penal por violencia familiar,77
2024,Abril,Centro,Judiciales,Violencia no penal,19
2024,Abril,Centro,Judiciales,Penal,533
2024,Abril,Centro,Policiales,Penal por violencia de género,933
2024,Abril,Centro,Policiales,Penal por violencia familiar,353
2024,Abril,Centro,Policiales,Violencia no penal,522
2024,Abril,Centro,Policiales,Penal,5508
2024,Abril,Cafayate,Judiciales,Penal por violencia de género,2
2024,Abril,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Abril,Cafayate,Judiciales,Violencia no penal,0
2024,Abril,Cafayate,Judiciales,Penal,4
2024,Abril,Cafayate,Policiales,Penal por violencia de género,29
2024,Abril,Cafayate,Policiales,Penal por violencia familiar,8
2024,Abril,Cafayate,Policiales,Violencia no penal,10
2024,Abril,Cafayate,Policiales,Penal,112
2024,Abril,Orán,Judiciales,Penal por violencia de género,20
2024,Abril,Orán,Judiciales,Penal por violencia familiar,1
2024,Abril,Orán,Judiciales,Violencia no penal,4
2024,Abril,Orán,Judiciales,Penal,5
2024,Abril,Orán,Policiales,Penal por violencia de género,201
2024,Abril,Orán,Policiales,Penal por violencia familiar,19
2024,Abril,Orán,Policiales,Violencia no penal,106
2024,Abril,Orán,Policiales,Penal,852
2024,Abril,Metán,Judiciales,Penal por violencia de género,12
2024,Abril,Metán,Judiciales,Penal por violencia familiar,0
2024,Abril,Metán,Judiciales,Violencia no penal,5
2024,Abril,Metán,Judiciales,Penal,19
2024,Abril,Metán,Policiales,Penal por violencia de género,144
2024,Abril,Metán,Policiales,Penal por violencia familiar,2
2024,Abril,Metán,Policiales,Violencia no penal,35
2024,Abril,Metán,Policiales,Penal,642
2024,Abril,Anta,Judiciales,Penal por violencia de género,5
2024,Abril,Anta,Judiciales,Penal por violencia familiar,0
2024,Abril,Anta,Judiciales,Violencia no penal,7
2024,Abril,Anta,Judiciales,Penal,3
2024,Abril,Anta,Policiales,Penal por violencia de género,23
2024,Abril,Anta,Policiales,Penal por violencia familiar,0
2024,Abril,Anta,Policiales,Violencia no penal,13
2024,Abril,Anta,Policiales,Penal,99
2024,Abril,Tartagal,Judiciales,Penal por violencia de género,21
2024,Abril,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Abril,Tartagal,Judiciales,Violencia no penal,13
2024,Abril,Tartagal,Judiciales,Penal,17
2024,Abril,Tartagal,Policiales,Penal por violencia de género,225
2024,Abril,Tartagal,Policiales,Penal por violencia familiar,9
2024,Abril,Tartagal,Policiales,Violencia no penal,135
2024,Abril,Tartagal,Policiales,Penal,1115
2024,Mayo,Centro,Judiciales,Penal por violencia de género,145
2024,Mayo,Centro,Judiciales,Penal por violencia familiar,80
2024,Mayo,Centro,Judiciales,Violencia no penal,25
2024,Mayo,Centro,Judiciales,Penal,509
2024,Mayo,Centro,Policiales,Penal por violencia de género,798
2024,Mayo,Centro,Policiales,Penal por violencia familiar,271
2024,Mayo,Centro,Policiales,Violencia no penal,480
2024,Mayo,Centro,Policiales,Penal,5200
2024,Mayo,Cafayate,Judiciales,Penal por violencia de género,1
2024,Mayo,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Mayo,Cafayate,Judiciales,Violencia no penal,0
2024,Mayo,Cafayate,Judiciales,Penal,5
2024,Mayo,Cafayate,Policiales,Penal por violencia de género,20
2024,Mayo,Cafayate,Policiales,Penal por violencia familiar,9
2024,Mayo,Cafayate,Policiales,Violencia no penal,17
2024,Mayo,Cafayate,Policiales,Penal,118
2024,Mayo,Orán,Judiciales,Penal por violencia de género,24
2024,Mayo,Orán,Judiciales,Penal por violencia familiar,2
2024,Mayo,Orán,Judiciales,Violencia no penal,5
2024,Mayo,Orán,Judiciales,Penal,10
2024,Mayo,Orán,Policiales,Penal por violencia de género,179
2024,Mayo,Orán,Policiales,Penal por violencia familiar,31
2024,Mayo,Orán,Policiales,Violencia no penal,74
2024,Mayo,Orán,Policiales,Penal,839
2024,Mayo,Metán,Judiciales,Penal por violencia de género,21
2024,Mayo,Metán,Judiciales,Penal por violencia familiar,0
2024,Mayo,Metán,Judiciales,Violencia no penal,3
2024,Mayo,Metán,Judiciales,Penal,17
2024,Mayo,Metán,Policiales,Penal por violencia de género,147
2024,Mayo,Metán,Policiales,Penal por violencia familiar,3
2024,Mayo,Metán,Policiales,Violencia no penal,45
2024,Mayo,Metán,Policiales,Penal,659
2024,Mayo,Anta,Judiciales,Penal por violencia de género,5
2024,Mayo,Anta,Judiciales,Penal por violencia familiar,0
2024,Mayo,Anta,Judiciales,Violencia no penal,10
2024,Mayo,Anta,Judiciales,Penal,8
2024,Mayo,Anta,Policiales,Penal por violencia de género,24
2024,Mayo,Anta,Policiales,Penal por violencia familiar,1
2024,Mayo,Anta,Policiales,Violencia no penal,15
2024,Mayo,Anta,Policiales,Penal,108
2024,Mayo,Tartagal,Judiciales,Penal por violencia de género,9
2024,Mayo,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Mayo,Tartagal,Judiciales,Violencia no penal,13
2024,Mayo,Tartagal,Judiciales,Penal,5
2024,Mayo,Tartagal,Policiales,Penal por violencia de género,228
2024,Mayo,Tartagal,Policiales,Penal por violencia familiar,9
2024,Mayo,Tartagal,Policiales,Violencia no penal,107
2024,Mayo,Tartagal,Policiales,Penal,940
2024,Junio,Centro,Judiciales,Penal por violencia de género,131
2024,Junio,Centro,Judiciales,Penal por violencia familiar,61
2024,Junio,Centro,Judiciales,Violencia no penal,29
2024,Junio,Centro,Judiciales,Penal,462
2024,Junio,Centro,Policiales,Penal por violencia de género,907
2024,Junio,Centro,Policiales,Penal por violencia familiar,352
2024,Junio,Centro,Policiales,Violencia no penal,462
2024,Junio,Centro,Policiales,Penal,5377
2024,Junio,Cafayate,Judiciales,Penal por violencia de género,3
2024,Junio,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Junio,Cafayate,Judiciales,Violencia no penal,0
2024,Junio,Cafayate,Judiciales,Penal,5
2024,Junio,Cafayate,Policiales,Penal por violencia de género,41
2024,Junio,Cafayate,Policiales,Penal por violencia familiar,7
2024,Junio,Cafayate,Policiales,Violencia no penal,9
2024,Junio,Cafayate,Policiales,Penal,124
2024,Junio,Orán,Judiciales,Penal por violencia de género,18
2024,Junio,Orán,Judiciales,Penal por violencia familiar,0
2024,Junio,Orán,Judiciales,Violencia no penal,7
2024,Junio,Orán,Judiciales,Penal,13
2024,Junio,Orán,Policiales,Penal por violencia de género,191
2024,Junio,Orán,Policiales,Penal por violencia familiar,18
2024,Junio,Orán,Policiales,Violencia no penal,84
2024,Junio,Orán,Policiales,Penal,822
2024,Junio,Metán,Judiciales,Penal por violencia de género,24
2024,Junio,Metán,Judiciales,Penal por violencia familiar,0
2024,Junio,Metán,Judiciales,Violencia no penal,4
2024,Junio,Metán,Judiciales,Penal,17
2024,Junio,Metán,Policiales,Penal por violencia de género,143
2024,Junio,Metán,Policiales,Penal por violencia familiar,3
