Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2021,Centro,Varones,Más de 74 años,92,8
2021,Sur-Metán,Varones,Más de 74 años,11,8
2021,Norte-Orán,Varones,Más de 74 años,8,8
2021,Norte-Tartagal,Varones,Más de 74 años,10,8
2021,Sur-Anta,Varones,Sin especificar,62,9
2021,Centro,Varones,Sin especificar,5096,9
2021,Sur-Metán,Varones,Sin especificar,395,9
2021,Norte-Orán,Varones,Sin especificar,984,9
2021,Norte-Tartagal,Varones,Sin especificar,1433,9
2022,Sur-Anta,Mujeres,0-17 años,3,1
2022,Centro,Mujeres,0-17 años,68,1
2022,Sur-Metán,Mujeres,0-17 años,12,1
2022,Norte-Orán,Mujeres,0-17 años,10,1
2022,Norte-Tartagal,Mujeres,0-17 años,24,1
2022,Sur-Anta,Mujeres,18-21 años,15,2
2022,Centro,Mujeres,18-21 años,413,2
2022,Sur-Metán,Mujeres,18-21 años,40,2
2022,Norte-Orán,Mujeres,18-21 años,57,2
2022,Norte-Tartagal,Mujeres,18-21 años,78,2
2022,Sur-Anta,Mujeres,22-29 años,35,3
2022,Centro,Mujeres,22-29 años,1622,3
2022,Sur-Metán,Mujeres,22-29 años,163,3
2022,Norte-Orán,Mujeres,22-29 años,227,3
2022,Norte-Tartagal,Mujeres,22-29 años,257,3
2022,Sur-Anta,Mujeres,30-39 años,73,4
2022,Centro,Mujeres,30-39 años,1699,4
2022,Sur-Metán,Mujeres,30-39 años,134,4
2022,Norte-Orán,Mujeres,30-39 años,175,4
2022,Norte-Tartagal,Mujeres,30-39 años,223,4
2022,Sur-Anta,Mujeres,40-49 años,31,5
2022,Centro,Mujeres,40-49 años,1083,5
2022,Sur-Metán,Mujeres,40-49 años,93,5
2022,Norte-Orán,Mujeres,40-49 años,95,5
2022,Norte-Tartagal,Mujeres,40-49 años,119,5
2022,Sur-Anta,Mujeres,50-59 años,12,6
2022,Centro,Mujeres,50-59 años,395,6
2022,Sur-Metán,Mujeres,50-59 años,39,6
2022,Norte-Orán,Mujeres,50-59 años,19,6
2022,Norte-Tartagal,Mujeres,50-59 años,41,6
2022,Sur-Anta,Mujeres,60-74 años,5,7
2022,Centro,Mujeres,60-74 años,229,7
2022,Sur-Metán,Mujeres,60-74 años,20,7
2022,Norte-Orán,Mujeres,60-74 años,12,7
2022,Norte-Tartagal,Mujeres,60-74 años,27,7
2022,Sur-Anta,Mujeres,Más de 74 años,2,8
2022,Centro,Mujeres,Más de 74 años,41,8
2022,Sur-Metán,Mujeres,Más de 74 años,2,8
2022,Norte-Orán,Mujeres,Más de 74 años,2,8
2022,Norte-Tartagal,Mujeres,Más de 74 años,2,8
2022,Sur-Anta,Mujeres,Sin especificar,112,9
2022,Centro,Mujeres,Sin especificar,2833,9
2022,Sur-Metán,Mujeres,Sin especificar,266,9
2022,Norte-Orán,Mujeres,Sin especificar,621,9
2022,Norte-Tartagal,Mujeres,Sin especificar,837,9
2022,Sur-Anta,Varones,0-17 años,8,1
2022,Centro,Varones,0-17 años,116,1
2022,Sur-Metán,Varones,0-17 años,19,1
2022,Norte-Orán,Varones,0-17 años,41,1
2022,Norte-Tartagal,Varones,0-17 años,39,1
2022,Sur-Anta,Varones,18-21 años,37,2
2022,Centro,Varones,18-21 años,814,2
2022,Sur-Metán,Varones,18-21 años,95,2
2022,Norte-Orán,Varones,18-21 años,152,2
2022,Norte-Tartagal,Varones,18-21 años,201,2
2022,Sur-Anta,Varones,22-29 años,112,3
2022,Centro,Varones,22-29 años,3096,3
2022,Sur-Metán,Varones,22-29 años,304,3
2022,Norte-Orán,Varones,22-29 años,554,3
2022,Norte-Tartagal,Varones,22-29 años,577,3
2022,Sur-Anta,Varones,30-39 años,109,4
2022,Centro,Varones,30-39 años,3713,4
2022,Sur-Metán,Varones,30-39 años,319,4
2022,Norte-Orán,Varones,30-39 años,581,4
2022,Norte-Tartagal,Varones,30-39 años,593,4
2022,Sur-Anta,Varones,40-49 años,48,5
2022,Centro,Varones,40-49 años,2297,5
2022,Sur-Metán,Varones,40-49 años,203,5
2022,Norte-Orán,Varones,40-49 años,361,5
2022,Norte-Tartagal,Varones,40-49 años,364,5
2022,Sur-Anta,Varones,50-59 años,27,6
2022,Centro,Varones,50-59 años,910,6
2022,Sur-Metán,Varones,50-59 años,96,6
2022,Norte-Orán,Varones,50-59 años,127,6
2022,Norte-Tartagal,Varones,50-59 años,210,6
2022,Sur-Anta,Varones,60-74 años,17,7
2022,Centro,Varones,60-74 años,483,7
2022,Sur-Metán,Varones,60-74 años,69,7
2022,Norte-Orán,Varones,60-74 años,65,7
2022,Norte-Tartagal,Varones,60-74 años,70,7
2022,Sur-Anta,Varones,Más de 74 años,0,8
2022,Centro,Varones,Más de 74 años,117,8
2022,Sur-Metán,Varones,Más de 74 años,9,8
2022,Norte-Orán,Varones,Más de 74 años,8,8
2022,Norte-Tartagal,Varones,Más de 74 años,14,8
2022,Sur-Anta,Varones,Sin especificar,191,9
2022,Centro,Varones,Sin especificar,4191,9
2022,Sur-Metán,Varones,Sin especificar,380,9
2022,Norte-Orán,Varones,Sin especificar,1131,9
2022,Norte-Tartagal,Varones,Sin especificar,1474,9
2023,Sur-Anta,Mujeres,Más de 74 años,0,8
2023,Sur-Anta,Mujeres,0-17 años,7,1
2023,Sur-Anta,Mujeres,18-21 años,14,2
2023,Sur-Anta,Mujeres,22-29 años,45,3
2023,Sur-Anta,Mujeres,30-39 años,52,4
2023,Sur-Anta,Mujeres,40-49 años,23,5
2023,Sur-Anta,Mujeres,50-59 años,14,6
2023,Sur-Anta,Mujeres,60-74 años,8,7
2023,Sur-Anta,Mujeres,Sin especificar,152,9
2023,Sur-Anta,Varones,Más de 74 años,4,8
2023,Sur-Anta,Varones,0-17 años,9,1
2023,Sur-Anta,Varones,18-21 años,31,2
2023,Sur-Anta,Varones,22-29 años,108,3
2023,Sur-Anta,Varones,30-39 años,104,4
2023,Sur-Anta,Varones,40-49 años,79,5
