Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2021,Norte-Orán,Varones,0-5 años,1,42
2021,Norte-Tartagal,Varones,0-5 años,1,80
2021,Sur-Anta,Varones,11-14 años,3,3
2021,Centro,Varones,11-14 años,3,364
2021,Sur-Metán,Varones,11-14 años,3,36
2021,Norte-Orán,Varones,11-14 años,3,30
2021,Norte-Tartagal,Varones,11-14 años,3,49
2021,Sur-Anta,Varones,15-17 años,4,3
2021,Centro,Varones,15-17 años,4,229
2021,Sur-Metán,Varones,15-17 años,4,31
2021,Norte-Orán,Varones,15-17 años,4,14
2021,Norte-Tartagal,Varones,15-17 años,4,29
2021,Sur-Anta,Varones,18-21 años,5,3
2021,Centro,Varones,18-21 años,5,351
2021,Sur-Metán,Varones,18-21 años,5,13
2021,Norte-Orán,Varones,18-21 años,5,19
2021,Norte-Tartagal,Varones,18-21 años,5,28
2021,Sur-Anta,Varones,22-29 años,6,9
2021,Centro,Varones,22-29 años,6,1226
2021,Sur-Metán,Varones,22-29 años,6,51
2021,Norte-Orán,Varones,22-29 años,6,64
2021,Norte-Tartagal,Varones,22-29 años,6,101
2021,Sur-Anta,Varones,30-39 años,7,9
2021,Centro,Varones,30-39 años,7,1783
2021,Sur-Metán,Varones,30-39 años,7,74
2021,Norte-Orán,Varones,30-39 años,7,92
2021,Norte-Tartagal,Varones,30-39 años,7,126
2021,Sur-Anta,Varones,40-49 años,8,10
2021,Centro,Varones,40-49 años,8,1175
2021,Sur-Metán,Varones,40-49 años,8,42
2021,Norte-Orán,Varones,40-49 años,8,84
2021,Norte-Tartagal,Varones,40-49 años,8,110
2021,Sur-Anta,Varones,50-59 años,9,7
2021,Centro,Varones,50-59 años,9,652
2021,Sur-Metán,Varones,50-59 años,9,22
2021,Norte-Orán,Varones,50-59 años,9,32
2021,Norte-Tartagal,Varones,50-59 años,9,89
2021,Sur-Anta,Varones,6-10 años,2,11
2021,Centro,Varones,6-10 años,2,606
2021,Sur-Metán,Varones,6-10 años,2,55
2021,Norte-Orán,Varones,6-10 años,2,52
2021,Norte-Tartagal,Varones,6-10 años,2,77
2021,Sur-Anta,Varones,60-74 años,10,3
2021,Centro,Varones,60-74 años,10,579
2021,Sur-Metán,Varones,60-74 años,10,29
2021,Norte-Orán,Varones,60-74 años,10,31
2021,Norte-Tartagal,Varones,60-74 años,10,44
2021,Sur-Anta,Varones,Más de 74 años,11,2
2021,Centro,Varones,Más de 74 años,11,176
2021,Sur-Metán,Varones,Más de 74 años,11,15
2021,Norte-Orán,Varones,Más de 74 años,11,14
2021,Norte-Tartagal,Varones,Más de 74 años,11,14
2021,Sur-Anta,Varones,Sin especificar,12,3
2021,Centro,Varones,Sin especificar,12,195
2021,Sur-Metán,Varones,Sin especificar,12,41
2021,Norte-Orán,Varones,Sin especificar,12,32
2021,Norte-Tartagal,Varones,Sin especificar,12,39
2022,Sur-Anta,Mujeres,0-5 años,1,11
2022,Centro,Mujeres,0-5 años,1,503
2022,Sur-Metán,Mujeres,0-5 años,1,39
2022,Norte-Orán,Mujeres,0-5 años,1,53
2022,Norte-Tartagal,Mujeres,0-5 años,1,111
2022,Sur-Anta,Mujeres,11-14 años,3,23
2022,Centro,Mujeres,11-14 años,3,615
2022,Sur-Metán,Mujeres,11-14 años,3,70
2022,Norte-Orán,Mujeres,11-14 años,3,96
2022,Norte-Tartagal,Mujeres,11-14 años,3,147
2022,Sur-Anta,Mujeres,15-17 años,4,17
2022,Centro,Mujeres,15-17 años,4,489
2022,Sur-Metán,Mujeres,15-17 años,4,76
2022,Norte-Orán,Mujeres,15-17 años,4,127
2022,Norte-Tartagal,Mujeres,15-17 años,4,148
2022,Sur-Anta,Mujeres,18-21 años,5,54
2022,Centro,Mujeres,18-21 años,5,1269
2022,Sur-Metán,Mujeres,18-21 años,5,143
2022,Norte-Orán,Mujeres,18-21 años,5,225
2022,Norte-Tartagal,Mujeres,18-21 años,5,286
2022,Sur-Anta,Mujeres,22-29 años,6,117
2022,Centro,Mujeres,22-29 años,6,3979
2022,Sur-Metán,Mujeres,22-29 años,6,360
2022,Norte-Orán,Mujeres,22-29 años,6,733
2022,Norte-Tartagal,Mujeres,22-29 años,6,758
2022,Sur-Anta,Mujeres,30-39 años,7,98
2022,Centro,Mujeres,30-39 años,7,4062
2022,Sur-Metán,Mujeres,30-39 años,7,329
2022,Norte-Orán,Mujeres,30-39 años,7,649
2022,Norte-Tartagal,Mujeres,30-39 años,7,733
2022,Sur-Anta,Mujeres,40-49 años,8,46
2022,Centro,Mujeres,40-49 años,8,2819
2022,Sur-Metán,Mujeres,40-49 años,8,202
2022,Norte-Orán,Mujeres,40-49 años,8,378
2022,Norte-Tartagal,Mujeres,40-49 años,8,533
2022,Sur-Anta,Mujeres,50-59 años,9,19
2022,Centro,Mujeres,50-59 años,9,1264
2022,Sur-Metán,Mujeres,50-59 años,9,115
2022,Norte-Orán,Mujeres,50-59 años,9,135
2022,Norte-Tartagal,Mujeres,50-59 años,9,213
2022,Sur-Anta,Mujeres,6-10 años,2,19
2022,Centro,Mujeres,6-10 años,2,760
2022,Sur-Metán,Mujeres,6-10 años,2,64
2022,Norte-Orán,Mujeres,6-10 años,2,83
2022,Norte-Tartagal,Mujeres,6-10 años,2,118
2022,Sur-Anta,Mujeres,60-74 años,10,15
2022,Centro,Mujeres,60-74 años,10,936
2022,Sur-Metán,Mujeres,60-74 años,10,58
2022,Norte-Orán,Mujeres,60-74 años,10,102
2022,Norte-Tartagal,Mujeres,60-74 años,10,128
2022,Sur-Anta,Mujeres,Más de 74 años,11,14
2022,Centro,Mujeres,Más de 74 años,11,370
2022,Sur-Metán,Mujeres,Más de 74 años,11,23
2022,Norte-Orán,Mujeres,Más de 74 años,11,15
2022,Norte-Tartagal,Mujeres,Más de 74 años,11,32
2022,Sur-Anta,Mujeres,Sin especificar,12,20
2022,Centro,Mujeres,Sin especificar,12,382
2022,Sur-Metán,Mujeres,Sin especificar,12,80
2022,Norte-Orán,Mujeres,Sin especificar,12,137
2022,Norte-Tartagal,Mujeres,Sin especificar,12,123
2022,Sur-Anta,Varones,0-5 años,1,16
2022,Centro,Varones,0-5 años,1,453
2022,Sur-Metán,Varones,0-5 años,1,36
2022,Norte-Orán,Varones,0-5 años,1,47
2022,Norte-Tartagal,Varones,0-5 años,1,92
2022,Sur-Anta,Varones,11-14 años,3,11
2022,Centro,Varones,11-14 años,3,418
2022,Sur-Metán,Varones,11-14 años,3,28
2022,Norte-Orán,Varones,11-14 años,3,40
2022,Norte-Tartagal,Varones,11-14 años,3,57
2022,Sur-Anta,Varones,15-17 años,4,7
2022,Centro,Varones,15-17 años,4,200
2022,Sur-Metán,Varones,15-17 años,4,27
2022,Norte-Orán,Varones,15-17 años,4,16
2022,Norte-Tartagal,Varones,15-17 años,4,32
2022,Sur-Anta,Varones,18-21 años,5,8
2022,Centro,Varones,18-21 años,5,223
2022,Sur-Metán,Varones,18-21 años,5,26
2022,Norte-Orán,Varones,18-21 años,5,18
2022,Norte-Tartagal,Varones,18-21 años,5,28
2022,Sur-Anta,Varones,22-29 años,6,84
2022,Centro,Varones,22-29 años,6,1025
2022,Sur-Metán,Varones,22-29 años,6,49
2022,Norte-Orán,Varones,22-29 años,6,73
2022,Norte-Tartagal,Varones,22-29 años,6,92
2022,Sur-Anta,Varones,30-39 años,7,96
2022,Centro,Varones,30-39 años,7,1389
2022,Sur-Metán,Varones,30-39 años,7,66
2022,Norte-Orán,Varones,30-39 años,7,104
2022,Norte-Tartagal,Varones,30-39 años,7,132
2022,Sur-Anta,Varones,40-49 años,8,63
2022,Centro,Varones,40-49 años,8,999
2022,Sur-Metán,Varones,40-49 años,8,46
2022,Norte-Orán,Varones,40-49 años,8,98
2022,Norte-Tartagal,Varones,40-49 años,8,124
2022,Sur-Anta,Varones,50-59 años,9,17
2022,Centro,Varones,50-59 años,9,530
2022,Sur-Metán,Varones,50-59 años,9,37
2022,Norte-Orán,Varones,50-59 años,9,38
2022,Norte-Tartagal,Varones,50-59 años,9,80
2022,Sur-Anta,Varones,6-10 años,2,24
2022,Centro,Varones,6-10 años,2,621
2022,Sur-Metán,Varones,6-10 años,2,40
2022,Norte-Orán,Varones,6-10 años,2,59
2022,Norte-Tartagal,Varones,6-10 años,2,88
2022,Sur-Anta,Varones,60-74 años,10,21
2022,Centro,Varones,60-74 años,10,451
2022,Sur-Metán,Varones,60-74 años,10,32
2022,Norte-Orán,Varones,60-74 años,10,48
2022,Norte-Tartagal,Varones,60-74 años,10,64
2022,Sur-Anta,Varones,Más de 74 años,11,6
2022,Centro,Varones,Más de 74 años,11,186
2022,Sur-Metán,Varones,Más de 74 años,11,14
2022,Norte-Orán,Varones,Más de 74 años,11,6
2022,Norte-Tartagal,Varones,Más de 74 años,11,12
2022,Sur-Anta,Varones,Sin especificar,12,7
