Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
No,7/25/2024 16:10:54,4/4/2006,18,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,Constantementes,"Docentes, Administrativos/Preceptores, Personal de maestranza, Estudiantes",Sí,,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Amenazas, Golpes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.), Otras Situaciones De Violencia Y Discriminación",No,No Reaccionaste Ante Estas Situaciones,Sí,Sí,Sí,Sí,Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Biblioteca, Comedor, Campo Deportivo/Gimnasio, Escaleras, Otros Lugares De La Institución Educativa",No,"Identidad De Género, Identidad No Binarie, Orientación Sexual, Expresión De Género, Intersexualidad, Interseccionalidad, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual, Nuevas Masculinidades","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/25/2024 16:58:13,4/15/2006,18,No binario,No,No,Pansexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,Sí,Organización En La Formación/Filas,No Atravesé Situaciones De Violencia,Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 17:11:13,3/22/2006,18,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,Sí,Uniforme/Vestimenta,No Atravesé Situaciones De Violencia,Sí,Identidad De Género,Salud Integral De La Diversidad Sexual/Afectiva,No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
No,7/25/2024 18:16:08,3/23/2006,18,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Nunca,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,No,Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Capacitaciones, Charlas Informativas"
No,7/25/2024 18:53:25,7/21/2006,18,Mujer cis,Sí,No,Pansexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,,Burlas/Chistes,No,,No,No,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,7/25/2024 22:03:55,11/5/2005,18,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Salta,Constantementes,Estudiantes,Sí,,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes",No,"Avisar De Estas Situaciones En La Casa, Faltar A Clases Por Miedo, No Reaccionaste Ante Estas Situaciones",Sí,Sí,No,No,,"En El Aula, Pasillos, Patio, Baños O Vestuarios",Sí,"Identidad De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/26/2024 18:08:11,7/1/2006,18,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Cachi,Nunca,Directivos,No,Sí,No Experimenté Violencia/Agresiones,No,Pedir Un Consejo/Ayuda A Algún Compañero/A,No,No,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Organización En La Formación/Filas",Otros Lugares De La Institución Educativa,Sí,"Identidad De Género, Orientación Sexual, Derechos De La Diversidad Sexual-Afectiva","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,Sí,Realizar Mediaciones Entre Las Partes Involucradas,Sí,Talleres
No,7/28/2024 13:19:45,8/24/2006,18,Varón trans,No,No,Pansexual,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Administrativos/Preceptores, Estudiantes",Sí,No,"Burlas/Chistes, Gestos Intimidantes, Otras Situaciones De Violencia Y Discriminación",Sí,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Avisar De Estas Situaciones En El Establecimiento Educativo, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",Sí,Sí,Sí,Sí,"Prácticas Deportivas Separadas Por Varón/Mujer, Planillas De Asistencia Discriminada Por Varón/Mujer","En El Aula, Baños O Vestuarios",No,Está Coordinada Una Reunión Para Los Directivos Y El Alumno ,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries, Registro De Identidad En La Lista ",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/29/2024 8:29:36,7/5/2006,18,Mujer cis,Sí,No,Pansexual,Secundaria,Secundario estatal,Salta,Constantementes,"Directivos, Docentes, Administrativos/Preceptores, Estudiantes",Sí,,"Apodos, Burlas/Chistes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.), Otras Situaciones De Violencia Y Discriminación",No,"Avisar De Estas Situaciones En La Casa, No Reaccionaste Ante Estas Situaciones",No,,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Indicar El Largo Y La Forma De Peinar El Cabello, Organización En La Formación/Filas, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Pasillos, Patio, Baños O Vestuarios, Otros Lugares De La Institución Educativa",Sí,"Ninguno De Los Temas Anteriores, Únicamente Metodos Anticonceptivos ","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,8/7/2024 8:58:39,8/13/2006,18,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Salta,Constantementes,"Directivos, Estudiantes",Sí,,"Insultos, Apodos, Burlas/Chistes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Faltar A Clases Por Miedo",Sí,Sí,No,Sí,Organización En La Formación/Filas,"En El Aula, Pasillos, Baños O Vestuarios, Campo Deportivo/Gimnasio",Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,No,Organizar Campañas De Sensibilización E Información,No,
No,10/3/2023 13:46:55,12/28/2004,19,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,El Galpón,A veces,Estudiantes,No,,Burlas/Chistes,No,No Reaccionaste Ante Estas Situaciones,No,No,No,No,,No Atravesé Situaciones De Violencia,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,10/3/2023 15:18:25,2/24/2005,19,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Estudiantes",Sí,,"Apodos, Burlas/Chistes",No,No Atravesaste Situaciones De Violencia/Discriminacion,Sí,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,10/3/2023 15:18:30,7/17/2005,19,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,"Directivos, Docentes, Estudiantes",Sí,No,"Apodos, Burlas/Chistes",No,No Reaccionaste Ante Estas Situaciones,No,No,No,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello","En El Aula, Otros Lugares De La Institución Educativa",No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,10/3/2023 15:50:16,4/21/2005,19,Genderqueer,No,No,Gay,Secundaria,Secundario estatal,General Güemes,A veces,Estudiantes,Sí,No,"Insultos, Apodos, Burlas/Chistes, Empujones, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,"Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo, Defenderte Con Firmeza, Pero Sin Ejercer Violencia, Defenderte Violentamente (Con Insultos; Golpes; Etc.)",Sí,No,No,No,,"En El Aula, Pasillos, Patio, Escaleras, Otros Lugares De La Institución Educativa",Sí,"Identidad No Binarie, Nuevas Masculinidades","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Prácticas Deportivas Inclusivas",Sí,Sí,Organizar Campañas De Sensibilización E Información,No,
No,10/3/2023 16:27:53,12/28/2004,19,Varón cis,Sí,No,Gay,Superior (Unversitario/Terciario),Universidad estatal,Salta,A veces,Estudiantes,Sí,,"Insultos, Apodos, Burlas/Chistes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Avisar De Estas Situaciones En El Establecimiento Educativo, Defenderte Con Firmeza, Pero Sin Ejercer Violencia, No Reaccionaste Ante Estas Situaciones",No,,No,No,,"En El Aula, Patio, Comedor, Campo Deportivo/Gimnasio, Otros Lugares De La Institución Educativa",Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Talleres, Encuentros, Charlas Informativas, Actividades Culturales, Actividades Artisticas"
No,10/3/2023 18:04:04,1/14/2005,19,Varón trans,No,No,Bisexual,Secundaria,Secundario estatal,Embarcación,A veces,Estudiantes,No,No,Exclusión De Grupos Y Actividades Escolares,No,No Reaccionaste Ante Estas Situaciones,No,No,No,No,,En El Aula,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,10/12/2023 21:18:24,8/19/2005,19,No binario,No,No,Gay,Secundaria,Secundario estatal,Salta,A veces,Docentes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,Sí,Organización En La Formación/Filas,No Atravesé Situaciones De Violencia,Sí,Violencia Por Motivo De Identidad De Género U Orientación Sexual,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información",No,
No,10/20/2023 14:43:19,7/14/2005,19,Agénero,No,No,Asexual,Secundaria,Secundario estatal,El Galpón,A veces,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,No,,En El Aula,Sí,"Identidad De Género, Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva","Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
Sí,3/23/2024 11:29:02,3/26/2006,,-,,NO,Tractorsexual,SECUNDARIA,SECUNDARIO PRIVADO,PICHANAL,A VECES,"DIRECTIVOS, DOCENTES, ADMINISTRATIVOS/PRECEPTORES",SI,NO,"INSULTOS, APODOS, BURLAS/CHISTES, GESTOS INTIMIDANTES, EXCLUSIÓN DE GRUPOS Y ACTIVIDADES ESCOLARES, DIBUJOS/PALABRAS DISCRIMINATORIAS ESCRITAS EN LOS BAÑOS, PAREDES, MESAS, SILLAS, PIZARRA, ETC., AMENAZAS, GOLPES, CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.), ACOSO SEXUAL (QUE TE TOQUE, TE FOTOGRAFÍEN, ETC.)",SI,"DENUNCIAR ESTAS SITUACIONES ANTE LAS AUTORIDADES DEL ESTABLECIMIENTO, DENUNCIAR ANTE ORGANISMOS COMPETENTES (INADI, OBSERVATORIO DE LA VIOLENCIA, POLICÍA. ETC.), DENUNCIAR ANTE LA JUSTICIA",SI,SI,SI,SI,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA",DIRECCIÓN,SI,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, NUEVAS MASCULINIDADES",,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"TALLERES, CAPACITACIONES, ENCUENTROS, CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS, ACTIVIDADES ARTISTICAS"
No,2/28/2024 12:25:49,12/2/2004,19,Varón cis,Sí,No,Gay,Secundaria,Universidad estatal,Salta,A veces,Estudiantes,Sí,,"Insultos, Gestos Intimidantes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo, Pedir Un Consejo/Ayuda A Algún Compañero/A",No,No,No,Sí,,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio, Otros Lugares De La Institución Educativa",Sí,"Identidad De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,2/28/2024 18:37:40,12/21/2004,19,Mujer cis,Sí,No,Pansexual,Secundaria,Universidad estatal,Salta,A veces,"Personal de Maestranza, Estudiantes",No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,No,,Baños O Vestuarios,Sí,"Identidad De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
No,2/28/2024 20:24:08,9/19/2005,19,Mujer trans,No,No,Heterosexual,Primaria,Secundario estatal,General Güemes,Constantementes,Estudiantes,Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",Sí,"Avisar De Estas Situaciones En La Casa, Faltar A Clases Por Miedo, Pedir Un Consejo/Ayuda A Algún Compañero/A",Sí,Sí,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Pasillos, Patio",Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información",No,
Sí,4/11/2024 15:36:30,1/18/2005,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,UNIVERSIDAD PRIVADA,SALTA,A VECES,"DOCENTES, ESTUDIANTES",NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,SI,,,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,
No,2/29/2024 4:29:07,12/28/2004,19,Varón cis,Sí,No,Gay,Superior (Unversitario/Terciario),Universidad estatal,Salta,A veces,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,,No,No,No,Sí,Las Indicaciones Para El Uso De Baños (Mujer/Varón),No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Identidad No Binarie, Orientación Sexual, Expresión De Género, ","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Orientación Vocacional Para Personas Trans/No Binaries, ",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/6/2024 6:57:33,5/30/2005,19,Varón trans,No,No,Pansexual,Secundaria,Universidad estatal,Salta,Nunca,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,Sí,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Prácticas Deportivas Separadas Por Varón/Mujer",No Atravesé Situaciones De Violencia,No,,Trabajo Y Educación Para Las Personas Trans/No Binares,No,Sí,"Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/7/2024 10:38:21,5/13/2005,19,No binario,No,No,Bisexual,Secundaria,Universidad estatal,Salta,Constantementes,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,Pedir Un Consejo/Ayuda A Algún Compañero/A,No,No,No,Sí,Las Indicaciones Para El Uso De Baños (Mujer/Varón),"En El Aula, Patio",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/7/2024 10:56:36,6/16/2005,19,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,Sí,,Burlas/Chistes,No,,No,,No,No,,No Atravesé Situaciones De Violencia,Sí,Violencia Por Motivo De Identidad De Género U Orientación Sexual,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Orientación Vocacional Para Personas Trans/No Binaries",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
No,3/7/2024 17:11:45,3/14/2005,19,Mujer cis,Sí,No,Bisexual,Secundaria,Universidad estatal,Salta,Nunca,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,,No,,No,No,,No Atravesé Situaciones De Violencia,Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
No,3/8/2024 13:43:08,6/25/2005,19,No binario,No,No,Queer,Secundaria,Universidad estatal,Salta,A veces,"Docentes, Estudiantes",No,No,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,Sí,Las Indicaciones Para El Uso De Baños (Mujer/Varón),No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/18/2024 15:31:33,3/29/2005,19,Mujer cis,Sí,No,Pansexual,Secundaria,Universidad estatal,Salta,A veces,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,,No,,,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/21/2024 22:13:20,9/26/2005,19,Varón cis,Sí,No,No sé,Secundaria,Universidad estatal,Salta,Nunca,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,Sí,,No,No,,No Atravesé Situaciones De Violencia,Sí,Derechos De La Diversidad Sexual-Afectiva,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Generar Redes De Acompañamiento Y Asesoramiento,Sí,Otras
No,3/22/2024 12:33:39,9/18/2005,19,Varón trans,No,Sí,Demisexual,Secundaria,Universidad estatal,Salta,Constantementes,Estudiantes,Sí,,Apodos,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,Sí,No,No,,"En El Aula, Pasillos",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,Sí,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Encuentros, Charlas Informativas, Charlas Preventivas"
