Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
No,3/18/2024 15:13:51,3/4/2002,22,Mujer cis,Sí,No,Lesbiana,Secundaria,Universidad estatal,Salta,Constantementes,"Docentes, Estudiantes",No,,"Insultos, Apodos, Burlas/Chistes, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc.",No,"Pedir Un Consejo/Ayuda A Algún Compañero/A, No Reaccionaste Ante Estas Situaciones",No,No,No,No,,,Sí,"Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,7/25/2024 21:41:57,7/21/2004,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO, Xd,NO,NO,NO,NO,LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER,"EN EL AULA, DIRECCIÓN, PRECEPTORIA, PASILLOS",NO,NINGUNO DE LOS TEMAS ANTERIORES,,NO,NO,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS",NO,OTRAS
No,7/25/2024 16:02:55,8/25/2002,22,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Nunca,Docentes,No,,Ninguno,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,,No,,No Atravesé Situaciones De Violencia,Sí,Orientación Sexual,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,Sí,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
Sí,7/25/2024 21:53:34,11/9/2005,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,CONSTANTEMENTE,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
No,10/3/2023 17:02:00,6/22/2001,23,Mujer cis,Sí,No,Asexual,Secundaria,Universidad estatal,Salta,A veces,Estudiantes,Sí,,Burlas/Chistes,No,Pedir Un Consejo/Ayuda A Algún Compañero/A,Sí,,Sí,No,,Campo Deportivo/Gimnasio,Sí,"Identidad De Género, Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Prácticas Deportivas Inclusivas",Sí,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,Sí,Encuentros
Sí,7/25/2024 22:16:18,2/2/2009,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,IDENTIDAD DE GÉNERO,,SI,SI,Talleres sobre el respeto a la diversidad de opiniones,SI,TALLERES
Sí,7/25/2024 22:44:16,6/27/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,OTRAS
Sí,7/25/2024 23:22:17,3/18/2010,,Varón cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,SALTA,NUNCA,DOCENTES,NO,SI,No,NO,No atrabese,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,NO,,,NO,SI,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,NO,
Sí,7/26/2024 6:11:44,10/11/2003,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ADMINISTRATIVOS/PRECEPTORES,SI,NO,EXCLUSIÓN DE GRUPOS Y ACTIVIDADES ESCOLARES,SI,FALTAR A CLASES POR MIEDO,NO,SI,NO,SI,LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER,"EN EL AULA, PASILLOS, PATIO",NO,,,NO,NO,"ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
Sí,7/26/2024 8:17:24,2/6/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CHICOANA,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,SI,LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL, V.I.H o SIDA",,SI,SI,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"TALLERES, CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS, OTRAS"
